HERD,牛场名称,Region
110001,北京三元绿荷养殖中心西郊一场,BJ
110002,原西郊二队,BJ
110005,西郊四队,BJ
110009,东郊崔各庄,BJ
110010,北京三元绿荷养殖中心辛堡牛场,BJ
110012,北京首农畜牧发展有限公司圣兴达牛场,BJ
110013,南郊旧宫北,BJ
110014,南郊旧宫南,BJ
110015,北京首农畜牧发展有限公司金银岛牧场,BJ
110016,北京三元绿荷养殖中心鹿圈牛场,BJ
110017,北京首农畜牧发展有限公司绿牧园牛场,BJ
110018,南郊杜庆,BJ
110019,北京首农畜牧发展有限公司金星牛场,BJ
110020,南效西红门,BJ
110022,北京三元绿荷养殖中心北郊五场,BJ
110023,北郊二队,BJ
110024,北京三元绿荷养殖中心北郊三场,BJ
110025,北郊四队,BJ
110026,北京三元绿荷养殖中心西郊二场,BJ
110028,双桥牛场,BJ
110030,豆各庄,BJ
110031,北京首农畜牧发展有限公司长阳三场,BJ
110032,北京三元绿荷养殖中心长阳二场,BJ
110033,北京首农畜牧发展有限公司长阳四场,BJ
110036,南口一场,BJ
110037,北京首农畜牧发展有限公司南口二场,BJ
110038,北京首农畜牧发展有限公司南口三场,BJ
110043,北京首农畜牧发展有限公司中以示范牛场,BJ
110044,北京首农畜牧发展有限公司渠头牛场,BJ
110045,北京首农畜牧发展有限公司半截河牛场,BJ
110046,北京首农畜牧发展有限公司三垡牛场,BJ
110050,北京三元绿荷养殖中心朝阳北牛场,BJ
110051,北京三元绿荷养殖中心朝阳南牛场,BJ
110054,北京首农畜牧发展有限公司奶牛中心良种场,BJ
110055,北京首农畜牧发展有限公司草厂牛场,BJ
110057,北京首农畜牧发展有限公司第二牧场,BJ
110058,南邵,BJ
110064,北京首农畜牧发展有限公司小务牛场,BJ
110065,北京兴发旧县奶牛场,BJ
110066,北京望加养殖中心,BJ
110070,怀柔万茂,BJ
110071,北京三元绿荷养殖中心第一牧场,BJ
110072,大兴诚信,BJ
110073,北京首农畜牧发展有限公司创辉牛场,BJ
110074,大兴怡乐,BJ
110075,大兴黎明,BJ
110076,大兴沧达,BJ
110077,大兴义朋,BJ
110078,大兴亿盛,BJ
110079,雄特,BJ
110080,大兴旧宫镇,BJ
110082,大兴东胜园,BJ
110083,大兴安定棚讽,BJ
110084,大兴合兴聚,BJ
110085,大兴龙头,BJ
110086,华晨,BJ
110087,大兴创新,BJ
110088,大兴兴盛,BJ
110089,大兴海源,BJ
110090,辽宁天利德,BJ
110097,延庆兴利鹏,BJ
110098,延庆东发,BJ
110100,华夏畜牧,BJ
110101,大兴新凯,BJ
110120,北京首农畜牧发展有限公司京元牛场,BJ
110122,北京鼎晟誉玖牧业有限责任公司（一场）,BJ
110123,北京北庄南山奶牛养殖厂,BJ
110130,大兴富瑞,BJ
110131,北京宏兴成养殖有限公司,BJ
110132,大兴四海富友,BJ
110133,密云康源,BJ
110134,密云华盏,BJ
110135,北京市久兴养殖场,BJ
110136,密云浅山,BJ
110137,顺义石家营,BJ
110200,北京鼎晟誉玖牧业有限责任公司（二场）,BJ
